ajuste_id,fecha_calculo,fecha_afectada,activo,detalle_json
bonos_pagos_v1,2026-08-14,2022-07-08,AL30D,"{""caida_vs_pre_ventana"": ""-2.6%""}"
bonos_pagos_v1,2026-08-14,2023-07-07,GD35D,"{""caida_vs_pre_ventana"": ""-3.1%""}"
bonos_pagos_v1,2026-08-14,2024-01-09,AL30D,"{""caida_vs_pre_ventana"": ""-4.8%""}"
bonos_pagos_v1,2026-08-14,2024-01-09,GD30D,"{""caida_vs_pre_ventana"": ""-4.8%""}"
bonos_pagos_v1,2026-08-14,2024-01-09,GD35D,"{""caida_vs_pre_ventana"": ""-2.8%""}"
bonos_pagos_v1,2026-08-14,2024-07-08,AL30D,"{""caida_vs_pre_ventana"": ""-7.0%""}"
bonos_pagos_v1,2026-08-14,2024-07-08,GD30D,"{""caida_vs_pre_ventana"": ""-6.5%""}"
bonos_pagos_v1,2026-08-14,2025-01-08,AL30D,"{""caida_vs_pre_ventana"": ""-10.9%""}"
bonos_pagos_v1,2026-08-14,2025-01-08,GD30D,"{""caida_vs_pre_ventana"": ""-11.0%""}"
bonos_pagos_v1,2026-08-14,2025-01-09,AL30D,"{""caida_vs_pre_ventana"": ""-11.0%""}"
bonos_pagos_v1,2026-08-14,2025-01-09,GD30D,"{""caida_vs_pre_ventana"": ""-11.1%""}"
bonos_pagos_v1,2026-08-14,2025-07-08,AL30D,"{""caida_vs_pre_ventana"": ""-13.0%""}"
bonos_pagos_v1,2026-08-14,2025-07-08,GD30D,"{""caida_vs_pre_ventana"": ""-12.7%""}"
bonos_pagos_v1,2026-08-14,2025-07-08,GD35D,"{""caida_vs_pre_ventana"": ""-4.2%""}"
bonos_pagos_v1,2026-08-14,2026-01-08,AL30D,"{""caida_vs_pre_ventana"": ""-12.8%""}"
bonos_pagos_v1,2026-08-14,2026-01-08,GD30D,"{""caida_vs_pre_ventana"": ""-12.6%""}"
bonos_pagos_v1,2026-08-14,2026-01-08,GD35D,"{""caida_vs_pre_ventana"": ""-3.2%""}"
bonos_pagos_v1,2026-08-14,2026-01-09,AL30D,"{""caida_vs_pre_ventana"": ""-11.9%""}"
bonos_pagos_v1,2026-08-14,2026-01-09,GD30D,"{""caida_vs_pre_ventana"": ""-12.0%""}"
bonos_pagos_v1,2026-08-14,2026-07-08,AL30D,"{""caida_vs_pre_ventana"": ""-13.1%""}"
bonos_pagos_v1,2026-08-14,2026-07-08,GD30D,"{""caida_vs_pre_ventana"": ""-13.2%""}"
bonos_pagos_v1,2026-08-14,2026-07-08,GD35D,"{""caida_vs_pre_ventana"": ""-3.0%""}"
