fecha,capa1,capa2,capa3,iep_total,pesos_version,capa1_adj,capa2_adj,capa3_adj,iep_ajustado
1998-12-11,,,,,incompleta-v4,,,,
1998-12-14,,,,,incompleta-v4,,,,
1998-12-15,,,,,incompleta-v4,,,,
1998-12-16,,,,,incompleta-v4,,,,
1998-12-17,,,,,incompleta-v4,,,,
1998-12-18,,,,,incompleta-v4,,,,
1998-12-21,,,,,incompleta-v4,,,,
1998-12-22,,,,,incompleta-v4,,,,
1998-12-23,,,,,incompleta-v4,,,,
1998-12-24,,,,,incompleta-v4,,,,
1998-12-25,,,,,incompleta-v4,,,,
1998-12-28,,,,,incompleta-v4,,,,
1998-12-29,,,,,incompleta-v4,,,,
1998-12-30,,,,,incompleta-v4,,,,
1998-12-31,,,,,incompleta-v4,,,,
1999-01-01,,,,,incompleta-v4,,,,
1999-01-04,,,,,incompleta-v4,,,,
1999-01-05,,,,,incompleta-v4,,,,
1999-01-06,,,,,incompleta-v4,,,,
1999-01-07,,,,,incompleta-v4,,,,
1999-01-08,,,,,incompleta-v4,,,,
1999-01-11,,,,,incompleta-v4,,,,
1999-01-12,,,,,incompleta-v4,,,,
1999-01-13,,,,,incompleta-v4,,,,
1999-01-14,,,,,incompleta-v4,,,,
1999-01-15,,,,,incompleta-v4,,,,
1999-01-18,,,,,incompleta-v4,,,,
1999-01-19,,,,,incompleta-v4,,,,
1999-01-20,,,,,incompleta-v4,,,,
1999-01-21,,,,,incompleta-v4,,,,
1999-01-22,,,,,incompleta-v4,,,,
1999-02-01,,,,,incompleta-v4,,,,
1999-02-02,,,,,incompleta-v4,,,,
1999-02-03,,,,,incompleta-v4,,,,
1999-02-04,,,,,incompleta-v4,,,,
1999-02-05,,,,,incompleta-v4,,,,
1999-02-08,,,,,incompleta-v4,,,,
1999-02-09,,,,,incompleta-v4,,,,
1999-02-10,,,,,incompleta-v4,,,,
1999-02-11,,,,,incompleta-v4,,,,
1999-02-12,,,,,incompleta-v4,,,,
1999-02-15,,,,,incompleta-v4,,,,
1999-02-16,,,,,incompleta-v4,,,,
1999-02-17,,,,,incompleta-v4,,,,
1999-02-18,,,,,incompleta-v4,,,,
1999-02-19,,,,,incompleta-v4,,,,
1999-02-22,,,,,incompleta-v4,,,,
1999-02-23,,,,,incompleta-v4,,,,
1999-02-24,,,,,incompleta-v4,,,,
1999-02-25,,,,,incompleta-v4,,,,
1999-02-26,,,,,incompleta-v4,,,,
1999-03-01,,,,,incompleta-v4,,,,
1999-03-02,,,,,incompleta-v4,,,,
1999-03-03,,,,,incompleta-v4,,,,
1999-03-04,,,,,incompleta-v4,,,,
1999-03-05,,,,,incompleta-v4,,,,
1999-03-08,,,,,incompleta-v4,,,,
1999-03-09,,,,,incompleta-v4,,,,
1999-03-10,,,,,incompleta-v4,,,,
1999-03-11,,,,,incompleta-v4,,,,
1999-03-12,,,,,incompleta-v4,,,,
1999-03-15,,,,,incompleta-v4,,,,
1999-03-16,,,,,incompleta-v4,,,,
1999-03-17,,,,,incompleta-v4,,,,
1999-03-18,,,,,incompleta-v4,,,,
1999-03-19,,,,,incompleta-v4,,,,
1999-03-22,,,,,incompleta-v4,,,,
1999-03-23,,,,,incompleta-v4,,,,
1999-03-24,,,,,incompleta-v4,,,,
1999-03-25,,,,,incompleta-v4,,,,
1999-03-26,,,,,incompleta-v4,,,,
1999-03-29,,,,,incompleta-v4,,,,
1999-03-30,,,,,incompleta-v4,,,,
1999-03-31,,,,,incompleta-v4,,,,
1999-04-01,,,,,incompleta-v4,,,,
1999-04-02,,,,,incompleta-v4,,,,
1999-04-05,,,,,incompleta-v4,,,,
1999-04-06,,,,,incompleta-v4,,,,
1999-04-07,,,,,incompleta-v4,,,,
1999-04-08,,,,,incompleta-v4,,,,
1999-04-09,,,,,incompleta-v4,,,,
1999-04-12,,,,,incompleta-v4,,,,
1999-04-13,,,,,incompleta-v4,,,,
1999-04-14,,,,,incompleta-v4,,,,
1999-04-15,,,,,incompleta-v4,,,,
1999-04-16,,,,,incompleta-v4,,,,
1999-04-19,,,,,incompleta-v4,,,,
1999-04-20,,,,,incompleta-v4,,,,
1999-04-21,,,,,incompleta-v4,,,,
1999-04-22,,,,,incompleta-v4,,,,
1999-04-23,,,,,incompleta-v4,,,,
1999-04-26,,,,,incompleta-v4,,,,
1999-04-27,,,,,incompleta-v4,,,,
1999-04-28,,,,,incompleta-v4,,,,
1999-04-29,,,,,incompleta-v4,,,,
1999-04-30,,,,,incompleta-v4,,,,
1999-05-03,,,,,incompleta-v4,,,,
1999-05-04,,,,,incompleta-v4,,,,
1999-05-05,,,,,incompleta-v4,,,,
1999-05-06,,,,,incompleta-v4,,,,
1999-05-07,,,,,incompleta-v4,,,,
1999-05-10,,,,,incompleta-v4,,,,
1999-05-11,,,,,incompleta-v4,,,,
1999-05-12,,,,,incompleta-v4,,,,
1999-05-13,,,,,incompleta-v4,,,,
1999-05-14,,,,,incompleta-v4,,,,
1999-05-17,,,,,incompleta-v4,,,,
1999-05-18,,,,,incompleta-v4,,,,
1999-05-19,,,,,incompleta-v4,,,,
1999-05-20,,,,,incompleta-v4,,,,
1999-05-21,,,,,incompleta-v4,,,,
1999-05-24,,,,,incompleta-v4,,,,
1999-05-25,,,,,incompleta-v4,,,,
1999-05-26,,,,,incompleta-v4,,,,
1999-05-27,,,,,incompleta-v4,,,,
1999-05-28,,,,,incompleta-v4,,,,
1999-06-01,,,,,incompleta-v4,,,,
1999-06-02,,,,,incompleta-v4,,,,
1999-06-03,,,,,incompleta-v4,,,,
1999-06-04,,,,,incompleta-v4,,,,
