fecha,tc_12m,tc_fin_anio,tc_fin_proximo,ipc_12m,pib_anio,fiscal_anio
2016-06,17.6,16.1,18.7,21.5,-1.4,-350.6
2016-07,17.7,16.2,18.7,21.7,-1.5,-355.0
2016-08,17.8,16.0,18.5,21.9,-1.5,-375.0
2016-09,17.8,16.0,18.4,21.1,-1.7,-378.0
2016-10,18.0,15.7,18.2,19.4,-2.0,-379.5
2016-11,18.3,15.8,18.3,20.0,-2.3,-385.0
2016-12,18.5,,18.5,19.6,,
2017-01,18.6,18.4,21.0,19.7,3.0,-440.0
2017-02,18.3,18.0,20.5,19.5,3.0,-430.0
2017-03,18.4,17.8,20.1,18.4,2.8,-430.0
2017-04,18.3,17.6,20.0,17.5,2.7,-429.4
2017-05,18.6,17.7,20.1,17.0,2.6,-430.0
2017-06,18.8,17.8,20.2,17.0,2.7,-430.0
2017-07,19.8,18.3,20.8,17.1,2.7,-429.0
2017-08,19.9,18.2,20.7,17.2,2.8,-427.9
2017-09,19.9,18.1,20.6,16.9,2.8,-426.4
2017-10,20.1,18.0,20.5,17.3,2.9,-417.0
2017-11,20.2,17.8,20.3,17.5,2.9,-410.4
2017-12,20.4,,20.4,17.4,,
2018-01,22.2,21.9,24.5,18.6,3.0,-408.0
2018-02,22.6,22.0,24.6,17.6,2.7,-409.0
2018-03,23.2,22.5,25.1,17.8,2.5,-410.0
2018-04,23.4,22.6,25.4,18.2,2.5,-400.9
2018-05,29.2,27.4,31.8,22.2,1.3,-355.0
2018-06,32.9,30.3,36.0,24.2,0.5,-360.0
2018-07,33.5,30.5,36.0,23.7,-0.3,-360.0
2018-08,46.7,41.9,50.0,31.5,-1.9,-356.0
2018-09,48.2,43.0,50.4,31.9,-2.5,-360.0
2018-10,47.2,39.3,48.9,30.6,-2.4,-357.8
2018-11,47.7,39.0,48.5,28.6,-2.4,-356.2
2018-12,48.3,,48.3,28.7,,
2019-01,48.4,48.0,55.5,28.5,-1.2,-5.6
2019-02,49.3,48.0,56.4,29.0,-1.3,-38.5
2019-03,52.7,50.0,60.0,30.7,-1.2,-80.0
2019-04,54.6,51.2,61.7,31.4,-1.3,-95.6
2019-05,55.5,51.0,62.0,31.0,-1.5,-100.0
2019-06,55.0,50.2,61.1,30.0,-1.4,-101.4
2019-07,56.0,50.0,60.8,30.2,-1.5,-101.5
2019-08,80.0,66.7,87.1,48.3,-2.5,-142.6
2019-09,82.2,65.0,88.0,48.0,-2.9,-162.5
