fecha,icm
2017-05,123.9
2017-06,119.81
2017-07,114.55
2017-08,120.02
2017-09,120.88
2017-10,118.91
2017-11,119.25
2017-12,118.55
2018-01,109.54
2018-02,117.53
2018-03,115.96
2018-04,117.1
2018-05,100.43
2018-06,101.49
2018-07,106.28
2018-08,89.81
2018-09,99.85
2018-10,104.03
2018-11,105.89
2018-12,106.28
2019-01,114.08
2019-02,111.29
2019-03,108.06
2019-04,108.16
2019-05,108.83
2019-06,110.38
2019-07,109.53
2019-08,91.19
2019-09,100.83
2019-10,102.32
2019-11,104.82
2019-12,107.01
2020-01,109.44
2020-02,109.58
2020-03,101.07
2020-04,92.63
2020-05,92.37
2020-06,94.25
2020-07,96.19
2020-08,98.0
2020-09,99.96
2020-10,99.77
2020-11,101.79
2020-12,103.24
2021-01,112.8
2021-02,116.09
2021-03,116.31
2021-04,116.05
2021-05,115.8
2021-06,115.92
2021-07,116.38
2021-08,115.39
2021-09,114.94
2021-10,114.16
2021-11,113.06
2021-12,111.26
2022-01,109.97
2022-02,110.8
2022-03,108.47
2022-04,107.55
2022-05,105.02
2022-06,100.62
2022-07,93.97
2022-08,95.47
2022-09,98.28
2022-10,100.71
2022-11,102.29
2022-12,102.43
2023-01,98.81
2023-02,96.16
2023-03,95.12
2023-04,86.02
2023-05,93.99
2023-06,98.21
2023-07,99.82
2023-08,92.33
2023-09,95.85
2023-10,96.78
2023-11,93.69
2023-12,100.0
2024-01,109.17
2024-02,111.97
2024-03,119.16
2024-04,119.52
2024-05,120.33
2024-06,119.86
2024-07,121.09
2024-08,121.36
2024-09,122.89
2024-10,122.03
2024-11,122.13
2024-12,122.08
2025-01,127.7
2025-02,126.34
2025-03,126.62
2025-04,125.73
2025-05,126.57
2025-06,125.74
2025-07,124.14
2025-08,123.69
2025-09,122.37
2025-10,124.32
2025-11,124.16
2025-12,122.55
2026-01,122.76
2026-02,122.78
2026-03,121.55
2026-04,121.01
2026-05,121.26
2026-06,119.89
2026-07,119.18
