fecha,icc_nacional,icc_capital,icc_interior,icc_gba
2023-12,39.8088,40.4412,42.2363,38.2253
2024-01,35.5976,32.7411,40.2778,33.76
2024-02,36.0396,33.7585,43.0583,32.6858
2024-04,37.1651,38.4518,39.4798,35.451
2024-05,38.304,41.8367,42.9061,34.6045
2024-06,37.229,35.9649,44.7575,33.2787
2024-07,39.0987,36.3095,44.073,37.0719
2024-08,41.4553,42.9638,46.831,37.9152
2024-09,39.002,38.7931,41.6995,37.5143
2024-10,42.4248,39.4646,48.2004,39.9886
2024-11,45.0157,44.4162,53.52,40.3061
2024-12,46.0292,42.1743,52.008,43.7432
2025-01,47.3833,44.8393,54.3886,44.116
2025-02,47.2576,45.3074,52.2983,44.9425
2025-03,44.1139,43.4524,50.2811,40.7666
2025-04,44.1029,42.3759,49.5243,41.5022
2025-05,45.4893,42.4479,51.634,42.8651
2025-06,45.4768,43.8482,50.1833,43.2578
2025-07,46.3745,47.2222,49.9008,44.0949
2025-08,39.9443,37.0791,46.3747,37.1032
2025-09,39.8128,40.63,44.6464,36.7908
2025-10,42.3228,40.3298,47.9651,39.6745
2025-11,46.0436,39.9215,51.5137,44.7268
2025-12,45.5495,48.3086,47.4852,43.614
2026-01,46.5704,47.5945,51.2364,43.583
2026-02,44.3802,43.8948,50.0782,41.25
2026-03,42.0259,40.8287,50.7095,37.3916
2026-04,39.64,,,
2026-05,39.64,,,
2026-06,40.14,,,
2026-07,42.71,,,
